"time","co2"
31.3339999999998,353.99
31.4169999999999,351.81
31.5,350.05
31.5839999999998,350.25
31.6669999999999,351.49
31.75,352.85
31.8339999999998,353.8
31.9169999999999,355.04
32,355.73
32.0839999999998,356.32
32.1669999999999,357.32
32.25,356.34
32.3339999999998,354.84
32.4169999999999,353.01
32.5,351.31
32.5839999999998,351.62
32.6669999999999,353.07
32.75,354.33
32.8339999999998,354.84
32.9169999999999,355.73
33,357.23
33.0839999999998,358.66
33.1669999999999,359.13
33.25,358.13
33.3339999999998,356.19
33.4169999999999,353.85
33.5,352.25
33.5839999999998,352.35
33.6669999999999,353.81
33.75,355.12
33.8339999999998,356.25
33.9169999999999,357.11
34,357.86
34.0839999999998,359.09
34.1669999999999,359.59
34.25,359.33
34.3339999999998,357.01
34.4169999999999,354.94
34.5,352.95
34.5839999999998,353.32
34.6669999999999,354.32
34.75,355.57
34.8339999999998,357
34.9169999999999,357.31
35,358.47
35.0839999999998,359.27
35.1669999999999,360.19
35.25,359.52
35.3339999999998,357.33
35.4169999999999,355.64
35.5,354.03
35.5839999999998,354.12
35.6669999999999,355.41
35.75,356.91
35.8339999999998,358.24
35.9169999999999,358.92
36,359.99
36.0839999999998,361.23
36.1669999999999,361.65
36.25,360.81
36.3339999999998,359.38
36.4169999999999,357.46
36.5,355.73
36.5839999999998,356.07
36.6669999999999,357.53
36.75,358.98
36.8339999999998,359.92
36.9169999999999,360.86
37,361.83
37.0839999999998,363.3
37.1669999999999,363.69
37.25,363.19
37.3339999999998,361.64
37.4169999999999,359.12
37.5,358.17
37.5839999999998,357.99
37.6669999999999,359.45
37.75,360.68
37.8339999999998,362.07
37.9169999999999,363.24
38,364.17
38.0839999999998,364.57
38.1669999999999,365.13
38.25,364.92
38.3339999999998,363.55
38.4169999999999,361.38
38.5,359.54
38.5839999999998,359.58
38.6669999999999,360.89
38.75,362.24
38.8339999999998,363.09
38.9169999999999,364.03
39,364.51
39.0839999999998,366.35
39.1669999999999,366.64
39.25,365.59
39.3339999999998,364.31
39.4169999999999,362.25
39.5,360.29
39.5839999999998,360.82
39.6669999999999,362.49
39.75,364.38
39.8339999999998,365.26
39.9169999999999,365.98
40,367.24
40.0839999999998,368.66
40.1669999999999,369.42
40.25,368.99
40.3339999999998,367.82
40.4169999999999,365.95
40.5,364.02
40.5839999999998,364.4
40.6669999999999,365.52
40.75,367.13
